TS Sync

Version 2.03
Internal Version 2.0
Release Build: 10 by STEVE_TALL - 06/05/2000 - 14:27:06
CPU 1586, MMX Yes, Vendor: Virtual CPU  
Frames: 53557
Average FPS: 46
Max MaxAhead: 21
Latency setting: 0
Game speed setting: 0
FrameSendRate: 7
FPU State: 9031f

--- BEGIN DoList ---
Event: REMOVEPLAYER   Frame: 53564    Is_Exec: 0  ID: 1     00000000 *
Event: TIMING         Frame: 53529    Is_Exec: 1  ID: 0     3a001500 07
Event: PLACE          Frame: 53361    Is_Exec: 1  ID: 1     0f000000 00000000
Event: PLACE          Frame: 53277    Is_Exec: 1  ID: 0     01000000 00000000
Event: TIMING         Frame: 53270    Is_Exec: 1  ID: 0     37001500 07
Event: MEGAMISSION    Frame: 53074    Is_Exec: 1  ID: 0     34000000 fcfc1f00 02000000 00000000 00000000 0b000000 d6c90100
Event: MEGAMISSION    Frame: 53074    Is_Exec: 1  ID: 0     34000000 d2771d00 02000000 00000000 00000000 0b000000 bdcd0100
Event: REPAIR         Frame: 53067    Is_Exec: 1  ID: 1     34000000 b13f2200
Event: TIMING         Frame: 53018    Is_Exec: 1  ID: 0     3a001500 07
Event: PLACE          Frame: 52976    Is_Exec: 1  ID: 0     06000000 c0007000
Event: TIMING         Frame: 52759    Is_Exec: 1  ID: 0     3a001500 07
Event: PRODUCE        Frame: 52633    Is_Exec: 1  ID: 1     10000000 0f000000
Event: PRODUCE        Frame: 52584    Is_Exec: 1  ID: 0     07000000 22000000
Event: PRODUCE        Frame: 52556    Is_Exec: 1  ID: 1     07000000 28000000
Event: TIMING         Frame: 52507    Is_Exec: 1  ID: 0     3c001500 07
Event: PLACE          Frame: 52479    Is_Exec: 1  ID: 0     06000000 c4007300
Event: TIMING         Frame: 52248    Is_Exec: 1  ID: 0     3c001500 07
Event: PRODUCE        Frame: 52213    Is_Exec: 1  ID: 0     07000000 22000000
Event: PLACE          Frame: 52108    Is_Exec: 1  ID: 0     06000000 c6007200
Event: PLACE          Frame: 52066    Is_Exec: 1  ID: 0     02000000 00000000
Event: TIMING         Frame: 51989    Is_Exec: 1  ID: 0     3c001500 07
Event: PLACE          Frame: 51891    Is_Exec: 1  ID: 1     06000000 b0005200
Event: TIMING         Frame: 51737    Is_Exec: 1  ID: 0     3c001500 07
Event: PRODUCE        Frame: 51723    Is_Exec: 1  ID: 0     07000000 22000000
Event: PLACE          Frame: 51597    Is_Exec: 1  ID: 0     06000000 c4006e00
Event: TIMING         Frame: 51478    Is_Exec: 1  ID: 0     3c001500 07
Event: PLACE          Frame: 51310    Is_Exec: 1  ID: 0     01000000 00000000
Event: TIMING         Frame: 51226    Is_Exec: 1  ID: 0     3c001500 07
Event: PLACE          Frame: 51177    Is_Exec: 1  ID: 0     02000000 00000000
Event: PRODUCE        Frame: 51051    Is_Exec: 1  ID: 0     07000000 22000000
Event: TIMING         Frame: 50967    Is_Exec: 1  ID: 0     3c001500 07
Event: MEGAMISSION    Frame: 50827    Is_Exec: 1  ID: 0     34000000 d2771d00 01000000 34000000 e28e1d00 00000000 00000000
Event: MEGAMISSION    Frame: 50827    Is_Exec: 1  ID: 0     34000000 fcfc1f00 01000000 34000000 e28e1d00 00000000 00000000
Event: TIMING         Frame: 50715    Is_Exec: 1  ID: 0     37001500 07
Event: MEGAMISSION    Frame: 50666    Is_Exec: 1  ID: 1     34000000 b13f2200 01000000 34000000 da1b2200 00000000 00000000
Event: TIMING         Frame: 50456    Is_Exec: 1  ID: 0     3c001500 07
Event: MEGAMISSION    Frame: 50442    Is_Exec: 1  ID: 1     34000000 b13f2200 01000000 34000000 10101c00 00000000 00000000
Event: MEGAMISSION    Frame: 50428    Is_Exec: 1  ID: 1     34000000 b13f2200 01000000 34000000 10101c00 00000000 00000000
Event: MEGAMISSION    Frame: 50421    Is_Exec: 1  ID: 1     34000000 b13f2200 01000000 34000000 10101c00 00000000 00000000
Event: MEGAMISSION    Frame: 50372    Is_Exec: 1  ID: 0     34000000 d2771d00 01000000 34000000 10101c00 00000000 00000000
Event: MEGAMISSION    Frame: 50372    Is_Exec: 1  ID: 0     34000000 fcfc1f00 01000000 34000000 10101c00 00000000 00000000
Event: PLACE          Frame: 50288    Is_Exec: 1  ID: 0     02000000 00000000
Event: TIMING         Frame: 50197    Is_Exec: 1  ID: 0     3c001500 07
Event: TIMING         Frame: 49945    Is_Exec: 1  ID: 0     3a001500 07
Event: TIMING         Frame: 49686    Is_Exec: 1  ID: 0     3a001500 07
Event: MEGAMISSION    Frame: 49567    Is_Exec: 1  ID: 0     34000000 3adb1600 07000000 00000000 00000000 34000000 40061200
Event: MEGAMISSION    Frame: 49567    Is_Exec: 1  ID: 0     34000000 06481600 07000000 00000000 00000000 34000000 40061200
Event: TIMING         Frame: 49434    Is_Exec: 1  ID: 0     32001500 07
Event: PRODUCE        Frame: 49420    Is_Exec: 1  ID: 0     03000000 02000000
Event: PRODUCE        Frame: 49406    Is_Exec: 1  ID: 0     03000000 02000000
Event: PRODUCE        Frame: 49399    Is_Exec: 1  ID: 0     03000000 02000000
Event: PRODUCE        Frame: 49357    Is_Exec: 1  ID: 0     28000000 67000000
Event: PRODUCE        Frame: 49350    Is_Exec: 1  ID: 0     28000000 67000000
Event: PRODUCE        Frame: 49343    Is_Exec: 1  ID: 0     28000000 67000000
Event: PRODUCE        Frame: 49329    Is_Exec: 1  ID: 1     07000000 28000000
Event: TIMING         Frame: 49175    Is_Exec: 1  ID: 0     2f001500 07
Event: MEGAMISSION    Frame: 49084    Is_Exec: 1  ID: 0     34000000 d2771d00 02000000 00000000 00000000 0b000000 d1c90100
Event: MEGAMISSION    Frame: 49084    Is_Exec: 1  ID: 0     34000000 fcfc1f00 02000000 00000000 00000000 0b000000 d1c90100
Event: TIMING         Frame: 48923    Is_Exec: 1  ID: 0     2d001500 07
Event: REPAIR         Frame: 48888    Is_Exec: 1  ID: 1     34000000 b13f2200
Event: TIMING         Frame: 48664    Is_Exec: 1  ID: 0     2d001500 07
Event: MEGAMISSION    Frame: 48517    Is_Exec: 1  ID: 1     34000000 b13f2200 01000000 34000000 f8d51a00 00000000 00000000
